block_time,fees,score,block_hash
14.59,0.33848087,88.3,00000000000000000002a2c5b2ddfc1aa2d819754b34359733a2917d117ab8e9
23.92,0.4099126,95.5,0000000000000000000126da3faf6dd2eb14730ea99abd661f18aae0862a3999
23,0.44089687,71.6,00000000000000000002e4a5933cfe39ad6c44f72683743181ffa4c2aaa4be7c
19.36,0.41987122,95.1,00000000000000000001b43d43308638391eb290993f9fc305aee2747a8a7ee8
8.97,0.36367412,91.3,00000000000000000001d70e35ce00bf028cb963ba570b237ff5254eb2b9868b
7.19,0.34375972,85.9,00000000000000000002652482cbc6888932c4189b53b540f20b528ec83f27d9
5.21,0.30160334,69.0,000000000000000000010ae724d173d728d394d5256f73b69d36c999dcf6a1b8
15.42,0.39001421,87.3,00000000000000000000c07568d2c3453841d0bd3204fe8dfcacb9872990d533
6.34,0.3022813,76.8,000000000000000000030628e373d0cd17adcfd95875bf9f2fb41275022c8801
3.81,0.28493466,97.2,00000000000000000002a4b05d3fd1fba3e7ebee90aea4467c7a9385fdde6499
3.16,0.27237564,91.0,0000000000000000000182677d960cbf8dc16e67a50013c523947b5cf194690a
5.01,0.26978866,96.39999999999999,00000000000000000002503e48964fa21675634dba4f5233ea5fc7fa0f8e1f27
7.49,0.29277291,83.3,00000000000000000001d807411924cb19432b3c893c0a2222a10438cfdc22a6
9.37,0.32199028,79.5,00000000000000000003238108ad1eddd3469f38302bd4ce1ec53dede52f5720
3.61,0.2873557,99.3,000000000000000000013c594d514d5a212468319b521e3c0e6fb961702e17cf
6.17,0.27325339,99.2,00000000000000000001399e59a55db51749ba77090f649d202a536764aa3d42
8.67,0.30894881,78.5,00000000000000000002a8af2c998ece6fcec34110861ca6acae79edb7a98a14
14.44,0.3628572,87.1,00000000000000000000e1b0e585fc1da4a1ed41487bf3c189db09d9c15b1a7b
18.1,0.38506105,98.3,000000000000000000021b0a25fed1e9785d3bdc0610cae0eb48942fdbf2d768
7.17,0.31731088,87.7,00000000000000000000c92f4b03d1b6c520e3386adbba350504136050859c92
3.74,0.27023426,30.8,00000000000000000002485c42472d87bd732e1c0283f5f21c21e656b8ed799d
8.63,0.30853759,83.39999999999999,00000000000000000001a1644c0589c2f1b4caefb7a7fc03a18f16d512e23a63
5.01,0.275635,96.2,00000000000000000001cf2ac63db65d5b6abbeacbf0ad491d42336b1e01fad3
42.79,0.53602726,93.4,00000000000000000000ece19d3e70f7f435a49c91826229b1653d8a9525641f
16.64,0.46259213,83.1,000000000000000000027b14bc5e3d246244d4491bd23707c9a9252a6f3904cc
4.84,0.37513242,84.0,00000000000000000002130081532ddd634e3265c606a3fa2ad184f9fbd5e6af
13.68,0.42485257,98.2,00000000000000000002a3ad748ffe39c10eeefbd1cd231e95425cebf4350a52
7.98,0.35715362,90.10000000000001,000000000000000000017c084e81f51e965b0fa33a1244939d39474953d6a409
11.01,0.35052512,97.7,0000000000000000000116c97ebfabc8c401547936d1a5288177075b1f361b11
